Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate
1960,3966949,7286,487,319,,1042,5438,183.7,12.3,8,,26.3,137.1
1961,4059000,7555,349,414,,1065,5727,186.1,8.6,10.2,,26.2,141.1
1962,4177000,7720,362,342,,1070,5946,184.8,8.7,8.2,,25.6,142.4
1963,4331000,8259,307,415,,1267,6270,190.7,7.1,9.6,,29.3,144.8
1964,4378000,10561,367,506,,1517,8171,241.2,8.4,11.6,,34.7,186.6
1965,4457000,10145,365,536,,1780,7464,227.6,8.2,12,,39.9,167.5
1966,4507000,10399,364,540,,2006,7489,230.7,8.1,12,,44.5,166.2
1967,4536000,10328,411,601,,2397,6919,227.7,9.1,13.2,,52.8,152.5
1968,4597000,12821,473,716,,3027,8605,278.9,10.3,15.6,,65.8,187.2
1969,4669000,12433,341,766,,3782,7544,266.3,7.3,16.4,,81,161.6
1970,4648494,14040,483,796,,4437,8324,302,10.4,17.1,,95.5,179.1
1971,4714000,15384,475,1006,,5033,8870,326.3,10.1,21.3,,106.8,188.2
1972,4764000,16483,561,1034,,5408,9480,346,11.8,21.7,,113.5,199
1973,4811000,16007,503,1104,,5044,9356,332.7,10.5,22.9,,104.8,194.5
1974,4908000,17514,522,1269,,6253,9470,356.8,10.6,25.9,,127.4,193
1975,4967000,18917,570,1194,,6878,10275,380.9,11.5,24,,138.5,206.9
1976,5032000,15485,476,1115,,5444,8450,307.7,9.5,22.2,,108.2,167.9
1977,5135000,14893,460,1199,,4727,8507,290,9,23.3,,92.1,165.7
1978,5148000,14743,452,1168,,5000,8123,286.4,8.8,22.7,,97.1,157.8
1979,5197000,15642,447,1407,,5799,7989,301,8.6,27.1,,111.6,153.7
1980,5323412,16355,459,1458,,6392,8046,307.2,8.6,27.4,,120.1,151.1
1981,5426000,17456,464,1478,,7229,8285,321.7,8.6,27.2,,133.2,152.7
1982,5491000,16970,405,1366,,6708,8491,309.1,7.4,24.9,,122.2,154.6
1983,5550000,16236,387,1370,,6132,8347,292.5,7,24.7,,110.5,150.4
1984,5636000,16660,434,1503,,5765,8958,295.6,7.7,26.7,,102.3,158.9
1985,5706000,16813,405,1551,,5720,9137,294.7,7.1,27.2,,100.2,160.1
1986,5787000,17708,411,1533,,6118,9646,306,7.1,26.5,,105.7,166.7
1987,5904000,17414,437,1537,,6244,9196,295,7.4,26,,105.8,155.8
1988,5996000,17940,468,1622,,6748,9102,299.2,7.8,27.1,,112.5,151.8
1989,6098000,19057,480,1638,,6494,10445,312.5,7.9,26.9,,106.5,171.3
1990,6187358,21694,545,1915,,7626,11608,350.6,8.8,31,,123.3,187.6
1991,6286000,23459,583,1879,,8651,12346,373.2,9.3,29.9,,137.6,196.4
1992,6377000,23907,564,2008,,8787,12548,374.9,8.8,31.5,,137.8,196.8
1993,6491000,24160,539,2083,,9216,12322,372.2,8.3,32.1,,142,189.8
1994,6552000,23437,571,1868,,8704,12294,357.7,8.7,28.5,,132.8,187.6
1995,6618000,23921,503,1799,,8718,12901,361.5,7.6,27.2,,131.7,194.9
1996,6675000,22782,500,1783,,8181,12318,341.3,7.5,26.7,,122.6,184.5
1997,6734000,23249,488,1819,,8384,12558,345.2,7.2,27,,124.5,186.5
1998,6791000,22115,422,1810,,7171,12712,325.7,6.2,26.7,,105.6,187.2
1999,6872912,21626,392,1720,,6947,12567,314.7,5.7,25,,101.1,182.8
2000,7078515,19943,401,1616,,6295,11631,281.7,5.7,22.8,,88.9,164.3
2001,7196750,20939,364,1770,,6860,11945,291,5.1,24.6,,95.3,166
2002,7287829,21256,388,1839,,6961,12068,291.7,5.3,25.2,,95.5,165.6
2003,7365284,20490,416,1807,,6713,11554,278.2,5.6,24.5,,91.1,156.9
2004,7481332,20608,390,1816,,6899,11503,275.5,5.2,24.3,,92.2,153.8
2005,7564327,21434,458,1763,,7495,11718,283,6.1,23.3,,99.1,154.9
2006,7642884,21683,403,1829,,7779,11672,283.7,5.3,23.9,,101.8,152.7
2007,7712091,21035,415,1793,,7696,11131,272.8,5.4,23.2,,99.8,144.3
2008,7769089,20031,370,1794,,7470,10397,257.8,4.8,23.1,,96.2,133.8
2009,7882590,18195,370,1572,,6342,9911,230.8,4.7,19.9,,80.5,125.7
2010,8023953,17184,376,1580,,5678,9550,214.2,4.7,19.7,,70.8,119
2011,8104384,16014,304,1591,,5425,8694,197.6,3.8,19.6,,66.9,107.3
2012,8186628,15676,322,1505,,4718,9131,191.5,3.9,18.4,,57.6,111.5
2013,8270345,16355,320,1476,2350,4574,9111,197.8,3.9,17.8,28.4,55.3,110.2
2014,8326289,16340,338,1432,2310,4292,9400,196.2,4.1,17.2,27.7,51.5,112.9
