state,total,black,white,latino,native american,asian,unknown
AL,194,90,101,2,0,1,0
AZ,122,14,87,17,3,1,0
AR,42,25,16,1,0,0,0
CA,616,219,246,120,14,17,0
CO,5,2,1,1,0,1,0
CT,7,3,3,1,0,0,0
DE,19,8,9,2,0,0,0
FL,382,134,213,33,1,1,0
GA,118,58,57,2,0,1,0
ID,22,0,22,0,0,0,0
IL,176,111,55,10,0,0,0
IN,41,13,28,0,0,0,0
KS,6,2,4,0,0,0,0
KY,39,9,29,1,0,0,0
LA,97,67,27,2,0,1,0
MD,15,10,5,0,0,0,0
MS,69,38,30,0,0,1,0
MO,70,31,39,0,0,0,0
MT,6,0,6,0,0,0,0
NE,7,1,5,1,0,0,0
NV,86,36,40,9,0,1,0
NJ,15,6,9,0,0,0,0
NM,3,0,2,1,0,0,0
NY,5,1,3,1,0,0,0
NC,217,120,81,5,9,2,0
OH,207,105,96,2,2,2,0
OK,116,42,62,4,7,1,0
OR,29,1,24,2,1,0,1
PA,244,153,74,15,0,2,0
SC,77,35,42,0,0,0,0
SD,5,0,5,0,0,0,0
TN,106,40,61,1,2,2,0
TX,454,188,148,113,0,5,0
UT,11,2,6,2,1,0,0
VA,25,10,15,0,0,0,0
WA,13,5,8,0,0,0,0
WY,2,0,2,0,0,0,0
Federal,26,18,6,2,0,0,0
Military,7,5,1,0,0,1,0
