from,to,fairly,unfairly,no opinion
1/10/2018,10/10/2018,49,45,6
5/10/2017,11/10/2017,51,43,7
5/10/2016,9/10/2016,50,44,5
7/10/2015,11/10/2015,53,41,6
12/10/2014,15/10/2014,51,42,7
3/10/2013,6/10/2013,52,40,8
6/10/2011,9/10/2011,52,41,6
7/10/2010,10/10/2010,58,36,7
1/10/2009,4/10/2009,57,34,9
3/10/2008,5/10/2008,54,38,8
4/10/2007,7/10/2007,57,38,5
8/05/2006,11/05/2006,60,35,4
2/5/20025,5/05/2005,61,35,4
2/05/2004,4/05/2004,55,39,6
5/05/2003,7/05/2003,60,37,3
6/05/2002,9/05/2002,53,40,7
23/06/2000,25/06/2000,51,41,8
