from,to,acceptable,wrong,depends,no opinion
1/05/2019,12/05/2019,60,35,5,1
1/05/2018,10/05/2018,62,33,4,1
3/05/2017,7/05/2017,58,35,6,2
4/05/2016,8/05/2016,59,34,6,1
6/05/2015,10/05/2015,60,33,5,2
8/05/2014,11/05/2014,61,30,7,3
2/05/2013,7/05/2013,62,31,5,2
3/05/2012,6/05/2012,58,34,6,1
5/05/2011,8/05/2011,65,28,5,2
3/05/2010,6/05/2010,65,26,7,2
7/05/2009,10/05/2009,62,30,6,2
8/05/2008,11/05/2008,62,30,5,3
10/05/2007,13/05/2007,66,27,5,2
8/05/2006,11/05/2006,71,22,5,2
2/05/2005,5/05/2005,70,25,4,1
2/05/2004,4/05/2004,65,28,5,2
5/05/2003,7/05/2003,64,31,4,1
6/05/2002,9/05/2002,65,28,5,2
10/05/2001,14/05/2001,63,27,8,2
