from,to,Favor,Not in favor,No opinion,from,to,acceptable,wrong,depends,no opinion,from,to,Too often,Right amount,Not enough,No opinion,from,to,fairly,unfairly,no opinion,from,to,death penalty,life imprisonment,no opinion
1/10/2018,10/10/2018,56,41,4,1/05/2019,12/05/2019,60,35,5,1,1/10/2018,10/10/2018,28,37,6,1,1/10/2018,10/10/2018,49,45,6,25/09/2014,30/09/2014,50,45,5
5/10/2017,11/10/2017,55,41,3,1/05/2018,10/05/2018,62,33,4,1,5/10/2017,11/10/2017,26,39,8,1,5/10/2017,11/10/2017,51,43,7,7/10/2010,10/10/2010,49,46,6
5/10/2016,9/10/2016,60,37,3,3/05/2017,7/05/2017,58,35,6,2,5/10/2016,9/10/2016,26,41,7,2,5/10/2016,9/10/2016,50,44,5,5/05/2006,7/05/2006,47,48,5
7/10/2015,11/10/2015,61,37,2,4/05/2016,8/05/2016,59,34,6,1,7/10/2015,11/10/2015,27,40,5,1,7/10/2015,11/10/2015,53,41,6,19/02/2001,21/02/2001,54,42,4
12/10/2014,15/10/2014,63,33,4,6/05/2015,10/05/2015,60,33,5,2,12/10/2014,15/10/2014,28,40,9,2,12/10/2014,15/10/2014,51,42,7,29/08/2000,5/09/2000,49,47,4
3/10/2013,6/10/2013,60,35,5,8/05/2014,11/05/2014,61,30,7,3,3/10/2013,6/10/2013,26,44,9,3,3/10/2013,6/10/2013,52,40,8,20/02/2000,21/02/2000,52,37,11
19/12/2012,22/12/2012,63,32,6,2/05/2013,7/05/2013,62,31,5,2,6/10/2011,9/10/2011,27,40,8,2,6/10/2011,9/10/2011,52,41,6,8/02/1999,9/02/1999,56,38,6
6/10/2011,9/10/2011,61,35,4,3/05/2012,6/05/2012,58,34,6,1,7/10/2010,10/10/2010,26,49,7,1,7/10/2010,10/10/2010,58,36,7,12/08/1997,13/08/1997,61,29,10
7/10/2010,10/10/2010,64,29,6,5/05/2011,8/05/2011,65,28,5,2,1/10/2009,4/10/2009,24,49,7,2,1/10/2009,4/10/2009,57,34,9,13/10/1993,18/10/1993,59,29,12
1/10/2009,4/10/2009,65,31,5,3/05/2010,6/05/2010,65,26,7,2,3/10/2008,5/10/2008,23,48,8,2,3/10/2008,5/10/2008,54,38,8,30/03/1992,5/04/1992,50,37,13
3/10/2008,5/10/2008,64,30,5,7/05/2009,10/05/2009,62,30,6,2,4/10/2007,7/10/2007,26,49,4,2,4/10/2007,7/10/2007,57,38,5,13/06/1991,16/06/1991,53,35,11
4/10/2007,7/10/2007,69,27,4,8/05/2008,11/05/2008,62,30,5,3,8/05/2006,11/05/2006,25,51,3,3,8/05/2006,11/05/2006,60,35,4,10/01/1986,13/01/1986,55,35,10
9/10/2006,12/10/2006,67,28,5,10/05/2007,13/05/2007,66,27,5,2,2/05/2005,5/05/2005,24,53,3,2,2/05/2005,5/05/2005,61,35,4,11/01/1985,14/01/1985,56,34,10
5/05/2006,7/05/2006,65,28,7,8/05/2006,11/05/2006,71,22,5,2,2/05/2004,4/05/2004,25,48,4,2,2/05/2004,4/05/2004,55,39,6,,,,,
13/10/2005,16/10/2005,64,30,6,2/05/2005,5/05/2005,70,25,4,1,5/05/2003,7/05/2003,26,48,3,1,5/05/2003,7/05/2003,60,37,3,,,,,
11/10/2004,14/10/2004,64,31,5,2/05/2004,4/05/2004,65,28,5,2,6/05/2002,9/05/2002,24,47,7,2,6/05/2002,9/05/2002,53,40,7,,,,,
6/10/2003,8/10/2003,64,32,4,5/05/2003,7/05/2003,64,31,4,1,10/05/2001,14/05/2001,34,38,7,1,23/06/2000,25/06/2000,51,41,8,,,,,
19/05/2003,21/05/2003,70,28,2,6/05/2002,9/05/2002,65,28,5,2,,,,,,,,,,,,,,,,
14/10/2002,17/10/2002,70,25,5,10/05/2001,14/05/2001,63,27,8,2,,,,,,,,,,,,,,,,
11/10/2001,14/10/2001,68,26,6,,,,,,,,,,,,,,,,,,,,,,
19/02/2001,21/02/2001,67,25,8,,,,,,,,,,,,,,,,,,,,,,
29/08/2000,5/09/2000,67,28,5,,,,,,,,,,,,,,,,,,,,,,
23/06/2000,25/06/2000,66,26,8,,,,,,,,,,,,,,,,,,,,,,
14/02/2000,15/02/2000,66,28,6,,,,,,,,,,,,,,,,,,,,,,
8/02/1999,9/02/1999,71,22,7,,,,,,,,,,,,,,,,,,,,,,
11/05/1995,14/05/1995,77,13,10,,,,,,,,,,,,,,,,,,,,,,
6/09/1994,7/09/1994,80,16,4,,,,,,,,,,,,,,,,,,,,,,
13/06/1991,16/06/1991,76,18,6,,,,,,,,,,,,,,,,,,,,,,
25/09/1988,1/10/1988,79,16,5,,,,,,,,,,,,,,,,,,,,,,
9/10/1988,11/10/1988,79,16,5,,,,,,,,,,,,,,,,,,,,,,
10/01/1986,13/01/1986,70,22,8,,,,,,,,,,,,,,,,,,,,,,
11/11/1985,18/11/1985,75,17,8,,,,,,,,,,,,,,,,,,,,,,
11/01/1985,14/01/1985,72,20,8,,,,,,,,,,,,,,,,,,,,,,
30/01/1981,2/02/1981,66,25,9,,,,,,,,,,,,,,,,,,,,,,
3/03/1978,6/03/1978,62,27,11,,,,,,,,,,,,,,,,,,,,,,
9/04/1976,12/04/1976,66,26,8,,,,,,,,,,,,,,,,,,,,,,
10/11/1972,13/11/1972,57,32,11,,,,,,,,,,,,,,,,,,,,,,
3/03/1972,5/03/1972,50,41,9,,,,,,,,,,,,,,,,,,,,,,
29/10/1971,2/11/1971,49,40,11,,,,,,,,,,,,,,,,,,,,,,
23/01/1969,28/01/1969,51,40,9,,,,,,,,,,,,,,,,,,,,,,
7/01/1965,12/01/1965,45,43,12,,,,,,,,,,,,,,,,,,,,,,
2/03/1960,7/03/1960,53,36,11,,,,,,,,,,,,,,,,,,,,,,
29/07/1957,4/08/1957,47,34,18,,,,,,,,,,,,,,,,,,,,,,
29/03/1956,3/04/1956,53,34,13,,,,,,,,,,,,,,,,,,,,,,
1/11/1953,5/11/1953,68,25,7,,,,,,,,,,,,,,,,,,,,,,
1/12/1937,6/12/1937,60,33,7,,,,,,,,,,,,,,,,,,,,,,
