State,Total,Black,White,Latino/a,Native American,Asian,Unknown
AL,201,97,100,3,0,1,0
AZ,135,16,92,23,4,0,0
AR,42,25,17,0,0,0,0
CA,697,251,253,159,12,22,0
CO,3,2,0,1,0,0,0
CT,10,6,3,1,0,0,0
DE,19,9,7,3,0,0,0
FL,398,137,223,35,1,2,0
GA,106,52,50,3,0,1,0
ID,17,0,17,0,0,0,0
IL,15,5,8,2,0,0,0
IN,15,4,11,0,0,0,0
KS,10,4,6,0,0,0,0
KY,35,6,28,1,0,0,0
LA,85,55,26,3,0,1,0
MD,5,4,1,0,0,0,0
MS,61,32,28,0,0,1,0
MO,53,22,31,0,0,0,0
MT,2,0,2,0,0,0,0
NE,11,2,5,4,0,0,0
NV,77,31,37,8,0,1,0
NH,1,1,0,0,0,0,0
NM,2,0,2,0,0,0,0
NC,167,87,66,4,9,1,0
OH,168,85,76,3,2,2,0
OK,84,32,44,3,5,0,0
OR,32,3,25,2,1,0,1
PA,222,133,69,18,0,2,0
SC,63,33,29,1,0,0,0
SD,3,0,3,0,0,0,0
TN,90,39,46,1,2,2,0
TX,337,130,104,99,0,4,0
UT,10,1,6,2,1,0,0
VA,15,6,8,1,0,0,0
WA,9,4,5,0,0,0,0
WY,1,0,1,0,0,0,0
US Gov.,59,31,23,4,1,0,0
Military,8,6,1,0,0,1,0
TOTAL,3268,1351,1453,384,38,41,1
