State ,Total ,Black ,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,193,102,88,2,0,1,0
AZ ,124,16,75,27,3,3,0
AR ,36,20,15,1,0,0,0
CA ,744,269,249,188,9,29,0
CO ,3,3,0,0,0,0,0
FL ,386,148,206,29,1,2,0
GA ,62,32,27,3,0,0,0
ID ,8,0,8,0,0,0,0
IN ,12,3,9,0,0,0,0
KS ,10,3,7,0,0,0,0
KY ,33,5,28,0,0,0,0
LA ,75,50,21,3,0,1,0
MS ,49,26,21,1,0,1,0
MO ,25,9,16,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,10,2,3,5,0,0,0
NV ,81,31,39,9,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,154,79,62,5,7,1,0
OH ,143,78,60,3,0,2,0
OK ,47,21,22,2,2,0,0
OR ,33,2,26,3,1,0,1
PA ,169,89,62,15,0,3,0
SC ,42,23,18,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,62,29,30,1,0,2,0
TX ,247,109,65,68,0,5,0
UT ,9,1,5,2,1,0,0
VA ,6,2,4,0,0,0,0
WA ,8,3,5,0,0,0,0
WY ,1,0,1,0,0,0,0
US Gov. ,62,27,26,7,1,1,0
Military ,5,2,3,0,0,0,0
TOTAL ,2847,1185,1208,375,25,53,1
