State ,Total,  Black ,White ,Latino/a ,Native  American ,Asian ,Unknown 
AL ,182,94,85,2,0,1,0
AZ ,121,18,71,25,4,3,0
AR ,32,17,14,1,0,0,0
CA ,740,267,245,189,10,29,0
CO ,3,3,0,0,0,0,0
FL ,354,134,193,24,1,2,0
GA ,56,30,23,3,0,0,0
ID ,9,0,9,0,0,0,0
IN ,11,3,8,0,0,0,0
KS ,10,3,7,0,0,0,0
KY ,31,5,26,0,0,0,0
LA ,70,46,20,3,0,1,0
MS ,46,25,19,1,0,1,0
MO ,25,7,18,0,0,0,0
MT ,2,0,2,0,0,0,0
NE ,12,3,3,6,0,0,0
NV ,76,28,36,10,0,2,0
NH ,1,1,0,0,0,0,0
NM ,2,0,2,0,0,0,0
NC ,143,76,54,5,7,1,0
OH ,142,80,57,3,0,2,0
OK ,48,22,21,2,3,0,0
OR ,33,2,26,3,1,0,1
PA ,158,85,56,14,0,3,0
SC ,39,21,17,1,0,0,0
SD ,3,0,3,0,0,0,0
TN ,61,29,29,1,0,2,0
TX ,228,98,62,64,0,4,0
UT ,9,1,5,2,1,0,0
VA ,3,2,1,0,0,0,0
WA ,8,3,5,0,0,0,0
WY ,1,0,1,0,0,0,0
US Gov. ,62,26,27,7,1,1,0
Military ,4,2,2,0,0,0,0
TOTAL ,2725,1131,1147,366,28,52,1
