date,Favor,Not in favor,No opinion
1/10/2018,56,41,4
1/10/2017,55,41,3
1/10/2016,60,37,3
1/10/2015,61,37,2
1/10/2014,63,33,4
1/10/2013,60,35,5
1/12/2012,63,32,6
1/10/2011,61,35,4
1/10/2010,64,29,6
1/10/2009,65,31,5
1/10/2008,64,30,5
1/10/2007,69,27,4
1/10/2006,67,28,5
1/05/2006,65,28,7
1/10/2005,64,30,6
1/10/2004,64,31,5
1/10/2003,64,32,4
1/05/2003,70,28,2
1/10/2002,70,25,5
1/10/2001,68,26,6
1/02/2001,67,25,8
1/09/2000,67,28,5
1/06/2000,66,26,8
1/02/2000,66,28,6
1/02/1999,71,22,7
1/05/1995,77,13,10
1/09/1994,80,16,4
1/06/1991,76,18,6
1/09/1988,79,16,5
1/09/1988,79,16,5
1/01/1986,70,22,8
1/11/1985,75,17,8
1/01/1985,72,20,8
1/02/1981,66,25,9
1/03/1978,62,27,11
1/04/1976,66,26,8
1/11/1972,57,32,11
1/03/1972,50,41,9
